VEHICLE_DATA_HISTORY_ID,VEHICLE_ID,VEHICLE_DATA_ID,BEARING,CURRENT_STOP_SEQUENCE,LATITUDE,LONGITUDE,SPEED,UPDATED_AT,DIRECTION_ID,ROUTE_ID,LABEL,CURRENT_STATUS,STOP_ID,DIRECTION_ID,DIRECTION,ROUTE_ID,DESCRIPTION,FARE_CLASS,LONG_NAME,SHORT_NAME,DIRECTION_ID,DESTINATION_ID,LINE_ID,COLOR,TEXT_COLOR,STATUS_ID,STATUS,STOP_ID,NAME,ADDRESS,DESCRIPTION,LATITUDE,LONGITUDE,MUNICIPALITY_ID,AT_STREET,ON_STREET,MUNICIPALITY_ID,MUNICIPALITY,STREET_ID,STREET,STREET_ID,STREET,LINE_ID,LONG_NAME,SHORT_NAME,COLOR,TEXT_COLOR,COLOR_ID,COLOR,COLOR_ID,COLOR,COLOR_ID,COLOR,COLOR_ID,COLOR
"208","y4102","2235","61","4","42.3680000305","-71.1786804199","None","2019-08-16 02:27:50","1","71","4102","2","2050","1","1","71","Key Bus","Local Bus","Watertown Square - Harvard","71","None","None","line-71","8","9","2","IN_TRANSIT_TO","2050","Mt Auburn St @ Parker St","None","None","42.367937","-71.178736","30","None","None","30","Watertown","None","None","None","None","line-71","Watertown Square - Harvard","71","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"89","y1432","2116","298","25","42.4176177979","-71.164100647","None","2019-08-16 02:27:53","2","77","1432","2","2286","2","0","77","Key Bus","Local Bus","Arlington Heights - Harvard","77","None","None","line-77","8","9","2","IN_TRANSIT_TO","2286","905 Massachusetts Ave","None","None","42.417833","-71.164714","23","None","None","23","Arlington","None","None","None","None","line-77","Arlington Heights - Harvard","77","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"270","G-10092","2297","215","60","42.3592910767","-71.0595092773","None","2019-08-16 02:27:23","2","Green-C","3659-3839","3","70197","2","0","Green-C","Rapid Transit","Rapid Transit","Green Line C","C","None","None","line-Green","4","2","3","INCOMING_AT","70197","Park Street","None","Park Street - Green Line - (C) Cleveland Circle","42.356395","-71.062424","1","None","None","1","Boston","None","None","None","None","line-Green","Green Line","None","4","2","4","00843D","2","FFFFFF","4","00843D","2","FFFFFF"
"98","y0848","2125","257","3","42.5205078125","-70.9019470215","None","2019-08-16 02:27:53","1","450","0848","2","4455","1","1","450","Local Bus","Inner Express","Salem Depot - Haymarket or Wonderland","450","None","None","line-424450456","8","9","2","IN_TRANSIT_TO","4455","Essex St @ Beckford St","None","None","42.52062","-70.901543","17","None","None","17","Salem","None","None","None","None","line-424450456","Salem Depot or Eastern Avenue & Essex Street - Haymarket, Wonderland, or Lynn","424/450/456","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"312","y1865","2339","0","23","42.3180084229","-71.0983123779","None","2019-08-16 02:27:53","1","22","1865","2","1216","1","1","22","Key Bus","Local Bus","Ashmont - Ruggles via Jackson Square","22","None","None","line-22","8","9","2","IN_TRANSIT_TO","1216","Columbus Ave @ Dimock St","None","None","42.319449","-71.09816","1","None","None","1","Boston","None","None","None","None","line-22","Ashmont - Ruggles via Jackson Square","22","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"336","B-545F37C9","2363","200","1","42.413520813","-70.9916687012","None","2019-08-16 02:27:55","2","Blue","0720","1","70059","2","0","Blue","Rapid Transit","Rapid Transit","Blue Line","None","None","None","line-Blue","5","2","1","STOPPED_AT","70059","Wonderland","None","Wonderland - Blue Line - Bowdoin","42.413513","-70.991737","14","None","None","14","Revere","None","None","None","None","line-Blue","Blue Line","None","5","2","5","003DA5","2","FFFFFF","5","003DA5","2","FFFFFF"
"288","G-10002","2315","105","570","42.3478813171","-71.0862731934","None","2019-08-16 02:27:12","1","Green-C","3613-3810","3","70154","1","1","Green-C","Rapid Transit","Rapid Transit","Green Line C","C","None","None","line-Green","4","2","3","INCOMING_AT","70154","Copley","None","Copley - Green Line - Park Street & North","42.349871","-71.078049","1","None","None","1","Boston","None","None","None","None","line-Green","Green Line","None","4","2","4","00843D","2","FFFFFF","4","00843D","2","FFFFFF"
"8","y0646","2035","0","8","42.4341773987","-71.0393676758","None","2019-08-16 02:27:47","1","108","0646","2","9021","1","1","108","Local Bus","Local Bus","Linden Square - Wellington","108","None","None","line-108","8","9","2","IN_TRANSIT_TO","9021","Salem St @ Home St - Broadway Sq","None","None","42.434125","-71.039413","33","None","None","33","Malden","None","None","None","None","line-108","Linden Square - Wellington","108","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"282","G-10282","2309","315","450","42.329120636","-71.1107711792","None","2019-08-16 02:27:56","1","Green-E","3621-3857","3","70258","1","1","Green-E","Rapid Transit","Rapid Transit","Green Line E","E","None","None","line-Green","4","2","3","INCOMING_AT","70258","Back of the Hill","None","Back of the Hill - Green Line - Park Street & North","42.329399","-71.110931","1","None","None","1","Boston","None","None","None","None","line-Green","Green Line","None","4","2","4","00843D","2","FFFFFF","4","00843D","2","FFFFFF"
"191","G-10056","2218","270","6","42.2697982788","-71.0754623413","None","2019-08-16 02:27:59","2","Mattapan","3230","3","70271","2","0","Mattapan","Rapid Transit","Rapid Transit","Mattapan Trolley","None","None","None","line-Mattapan","1","2","3","INCOMING_AT","70271","Valley Road","None","Valley Road - Mattapan Trolley - Mattapan","42.268322","-71.081568","2","None","None","2","Milton","None","None","None","None","line-Mattapan","Mattapan Trolley","None","1","2","1","DA291C","2","FFFFFF","1","DA291C","2","FFFFFF"
"348","y1127","2375","342","4","42.3640174866","-71.0196151733","None","2019-08-16 02:27:54","1","741","1127","2","17094","1","1","741","Key Bus","Rapid Transit","Logan Airport - South Station","SL1","None","None","line-SLWaterfront","6","2","2","IN_TRANSIT_TO","17094","Terminal C - Arrivals Level","Terminal C Arrivals, Door C106, Boston Logan International Airport, Boston, MA 02128","Terminal C - Silver Line - SL1 South Station","42.366494","-71.017289","1","None","None","1","Boston","None","None","None","None","line-SLWaterfront","Silver Line SL1/SL2/SL3","None","6","2","6","7C878E","2","FFFFFF","6","7C878E","2","FFFFFF"
"167","y1870","2194","11","16","42.3117141724","-71.0829086304","None","2019-08-16 02:27:54","1","23","1870","2","387","1","1","23","Key Bus","Local Bus","Ashmont - Ruggles via Washington Street","23","None","None","line-23","8","9","2","IN_TRANSIT_TO","387","Warren St @ Intervale St","None","None","42.31207","-71.082867","1","None","None","1","Boston","None","None","None","None","line-23","Ashmont - Ruggles via Washington Street","23","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"26","y1697","2053","318","16","42.2816543579","-71.1221694946","None","2019-08-16 02:27:50","1","30","1697","2","6461","1","1","30","Local Bus","Local Bus","Mattapan - Forest Hills via Roslindale Square","30","None","None","line-30","8","9","2","IN_TRANSIT_TO","6461","Cummins Hwy @ Brown Ave","None","None","42.281793","-71.122308","1","None","None","1","Boston","None","None","None","None","line-30","Mattapan - Forest Hills via Roslindale Square","30","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"36","y1279","2063","0","11","42.3304405212","-71.0837478638","None","2019-08-16 02:27:52","2","751","1279","2","64","2","0","751","Key Bus","Local Bus","Dudley - South Station","SL4","None","None","line-SLWashington","6","2","2","IN_TRANSIT_TO","64","Dudley Square","None","None","42.329789","-71.083887","1","None","None","1","Boston","None","None","None","None","line-SLWashington","Silver Line SL4/SL5","None","6","2","6","7C878E","2","FFFFFF","6","7C878E","2","FFFFFF"
"325","y1842","2352","119","1","42.3320541382","-71.0794448853","None","2019-08-16 02:27:55","2","1","1842","2","64","2","0","1","Key Bus","Local Bus","Harvard - Dudley via Massachusetts Avenue","1","None","None","line-1701","8","9","2","IN_TRANSIT_TO","64","Dudley Square","None","None","42.329789","-71.083887","1","None","None","1","Boston","None","None","None","None","line-1701","Harvard or Central Square - Boston Medical Center or Dudley via Massachusetts Avenue","1/CT1","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"299","G-10046","2326","135","30","42.3642692566","-71.0593566895","None","2019-08-16 02:27:35","2","Green-E","3605-3837","3","70204","2","0","Green-E","Rapid Transit","Rapid Transit","Green Line E","E","None","None","line-Green","4","2","3","INCOMING_AT","70204","Haymarket","None","Haymarket - Green Line - Copley & West","42.363021","-71.05829","1","None","None","1","Boston","None","None","None","None","line-Green","Green Line","None","4","2","4","00843D","2","FFFFFF","4","00843D","2","FFFFFF"
"199","1631","2226","162","1","42.7971305847","-70.8777008057","None","2019-08-16 02:27:37","1","CR-Newburyport","1631","1","Newburyport","1","1","CR-Newburyport","Commuter Rail","Commuter Rail","Newburyport/Rockport Line","None","None","None","line-Newburyport","7","2","1","STOPPED_AT","Newburyport","Newburyport","None","Newburyport - Commuter Rail","42.797837","-70.87797","53","None","None","53","Newburyport","None","None","None","None","line-Newburyport","Newburyport/Rockport Line","None","7","2","7","80276C","2","FFFFFF","7","80276C","2","FFFFFF"
"253","y0629","2280","305","3","42.373462677","-71.0812759399","None","2019-08-16 02:27:55","2","87","0629","2","2605","2","0","87","Local Bus","Local Bus","Clarendon Hill or Arlington Center - Lechmere via Somerville Avenue","87","None","None","line-87","8","9","2","IN_TRANSIT_TO","2605","McGrath Hwy opp Twin City Plaza","None","None","42.374126","-71.082561","25","None","117","25","Somerville","117","McGrath Highway","None","None","line-87","Clarendon Hill or Arlington Center - Lechmere via Somerville Avenue","87","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"30","y1647","2057","83","1","42.2998580933","-71.1144104004","None","2019-08-16 02:27:54","1","36","1647","2","10642","1","1","36","Local Bus","Local Bus","Charles River Loop - Forest Hills","36","None","None","line-36","8","9","2","IN_TRANSIT_TO","10642","Forest Hills","None","Forest Hills - Upper Busway","42.299936","-71.114324","1","None","None","1","Boston","None","None","None","None","line-36","Charles River Loop - Forest Hills","36","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"296","y1670","2323","218","23","42.2624359131","-71.1559829712","None","2019-08-16 02:27:52","2","34E","1670","2","615","2","0","34E","Local Bus","Local Bus","Walpole - Forest Hills","34E","None","None","line-3434E","8","9","2","IN_TRANSIT_TO","615","Washington St opp Desoto Rd","None","None","42.263045","-71.155462","1","None","None","1","Boston","None","None","None","None","line-3434E","Walpole or Dedham Line - Forest Hills","34/34E","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"341","R-545F254C","2368","85","1","42.3962097168","-71.1405410767","None","2019-08-16 02:20:15","2","Red","1749","1","Alewife-01","2","0","Red","Rapid Transit","Rapid Transit","Red Line","None","None","None","line-Red","1","2","1","STOPPED_AT","Alewife-01","Alewife","None","Alewife - Red Line - Track 1","42.395428","-71.142483","8","None","None","8","Cambridge","None","None","None","None","line-Red","Red Line","None","1","2","1","DA291C","2","FFFFFF","1","DA291C","2","FFFFFF"
"10","y1453","2037","135","25","42.3951301575","-71.1277236938","None","2019-08-16 02:27:56","1","77","1453","2","2297","1","1","77","Key Bus","Local Bus","Arlington Heights - Harvard","77","None","None","line-77","8","9","2","IN_TRANSIT_TO","2297","Massachusetts Ave @ Haskell St","None","None","42.394341","-71.127033","8","None","None","8","Cambridge","None","None","None","None","line-77","Arlington Heights - Harvard","77","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"116","y1775","2143","126","18","42.3437805176","-71.1239776611","None","2019-08-16 02:27:52","1","66","1775","2","1306","1","1","66","Key Bus","Local Bus","Harvard - Dudley via Allston","66","None","None","line-66","8","9","2","IN_TRANSIT_TO","1306","Harvard St @ Shailer St","None","None","42.343974","-71.124518","15","None","None","15","Brookline","None","None","None","None","line-66","Harvard - Dudley via Allston","66","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"92","y1413","2119","131","40","42.3870658875","-71.0820922852","None","2019-08-16 02:27:54","1","101","1413","2","2712","1","1","101","Local Bus","Local Bus","Malden Center - Sullivan via Winter Hill","101","None","None","line-101","8","9","2","IN_TRANSIT_TO","2712","Broadway @ Franklin St","None","None","42.387063","-71.082176","25","None","None","25","Somerville","None","None","None","None","line-101","Malden Center - Sullivan via Winter Hill","101","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"274","G-10026","2301","135","160","42.3499298096","-71.1061630249","None","2019-08-16 02:27:55","1","Green-B","3696-3842","3","70146","1","1","Green-B","Rapid Transit","Rapid Transit","Green Line B","B","None","None","line-Green","4","2","3","INCOMING_AT","70146","Boston University East","None","Boston University East - Green Line - Park Street & North","42.349659","-71.103989","1","None","None","1","Boston","None","None","None","None","line-Green","Green Line","None","4","2","4","00843D","2","FFFFFF","4","00843D","2","FFFFFF"
"7","y0713","2034","315","19","42.3902282715","-71.120803833","None","2019-08-16 02:27:52","2","83","0713","2","2318","2","0","83","Local Bus","Local Bus","Rindge Avenue - Central Square, Cambridge","83","None","None","line-83","8","9","2","IN_TRANSIT_TO","2318","Massachusetts Ave opp Walden St","None","None","42.391505","-71.123235","8","None","None","8","Cambridge","None","None","None","None","line-83","Rindge Avenue - Central Square, Cambridge","83","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"301","G-10181","2328","240","110","42.3501815796","-71.0771026611","None","2019-08-16 02:27:24","2","Green-C","3676-3880","1","70155","2","0","Green-C","Rapid Transit","Rapid Transit","Green Line C","C","None","None","line-Green","4","2","1","STOPPED_AT","70155","Copley","None","Copley - Green Line - Kenmore & West/(E) Heath Street","42.350126","-71.077376","1","None","None","1","Boston","None","None","None","None","line-Green","Green Line","None","4","2","4","00843D","2","FFFFFF","4","00843D","2","FFFFFF"
"333","O-545F37DF","2360","330","130","42.3651390076","-71.0599899292","None","2019-08-16 02:26:47","1","Orange","1220","1","70027","1","1","Orange","Rapid Transit","Rapid Transit","Orange Line","None","None","None","line-Orange","3","2","1","STOPPED_AT","70027","North Station","None","North Station - Orange Line - Oak Grove","42.365577","-71.06129","1","None","None","1","Boston","None","None","None","None","line-Orange","Orange Line","None","3","2","3","ED8B00","2","FFFFFF","3","ED8B00","2","FFFFFF"
