id,address,at_street,description,latitude,longitude,municipality,name,on_street
"node-428-lobby",,,"Maverick - Bottom of escalator from lobby to Lewis Mall",,,"Boston","Maverick",
"4373",,"Westvale Road",,"42.254584","-71.049864","Milton","Edge Hill Rd opp Westvale Rd","Edgehill Road"
"17354",,,,"42.489729","-70.968996","Lynn","Lynnfield St @ St Marys Cemetery","Lynnfield Street"
"1339",,"Saint Richard Street",,"42.323534","-71.084009","Boston","Walnut Ave @ St Richard St","Walnut Avenue"
"82851",,"Page Road",,"42.353395","-71.208103","Newton","Walnut St @ Page Rd","Walnut Street"
"node-129-lobby",,,"Forest Hills - Top of Orange Line platform north escalator",,,"Boston","Forest Hills",
"4001",,"Hillsdale Road",,"42.139833","-71.006985","Holbrook","S Franklin St opp Hillsdale Rd","South Franklin Street"
"9221",,"Banks Place",,"42.443302","-71.068052","Melrose","Main St @ Banks Pl","Main Street"
"3253",,"Babcock Street",,"42.266353","-70.968781","Quincy","Sea St @ Babcock St","Sea Street"
"door-knncl-sbmain",,,"Kendall/MIT - Main St, Buses, Cambridge Center","42.362259","-71.086206","Cambridge","Kendall/MIT - Main St, Buses, Cambridge Center",
"89608",,"Craig Lane",,"42.395355","-71.247958","Waltham","Totten Pond Rd @ Craig Ln","Totten Pond Road"
"node-armnl-wescstairs-lobby",,,"Arlington - Bottom of stairs from westbound escalator",,,"Boston","Arlington",
"111146",,,,"42.303676","-70.919766","Hull","Pemberton Point","Main Street"
"9172",,"Sables Court",,"42.416769","-71.105122","Medford","116 Riverside Ave","Riverside Avenue"
"8553",,"Keller Path",,"42.29108","-71.185716","Newton","Sawmill Brook Pkwy @ Keller Path","Sawmill Brook Parkway"
"4614",,,,"42.549752","-70.931153","Danvers","Endicott St @ Market Basket","Endicott Street"
"8911",,,,"42.398446","-71.234394","Waltham","Opp 680 Lexington St","Lexington Street"
"node-935-platform",,,"World Trade Center - Bottom of inbound platform elevator",,,"Boston","World Trade Center",
"4918",,"Spring Pond Road",,"42.498558","-70.954141","Peabody","Lynn St @ Spring Pond Rd","Lynn Street"
"6250",,"Stark Avenue",,"42.41787","-71.010378","Revere","Malden St @ Stark Ave","Malden Street"
"70238",,,"Cleveland Circle - Green Line - Park Street & North","42.336252","-71.148774","Boston","Cleveland Circle",
"9070236",,,"Englewood Avenue - Green Line Eastbound Shuttle","42.336781","-71.145835","Brookline","Englewood Avenue",
"1804",,"Longwood Avenue",,"42.339097","-71.106836","Boston","Brookline Ave @ Longwood Ave","Brookline Avenue"
"5037",,"Winthrop Street",,"42.414274","-71.119813","Medford","George St @ Winthrop St","George Street"
"8465",,"Crescent Avenue",,"42.489127","-71.278935","Bedford","South Rd @ Crescent Ave","South Road"
"6177",,"Saltonstall Parkway",,"42.512725","-70.89209","Salem","Lafayette St @ Saltonstall Pkwy","Lafayette Street"
"70007",,,"Jackson Square - Orange Line - Oak Grove","42.323132","-71.099592","Boston","Jackson Square",
"node-haecl-congogplatn-passage",,,"Haymarket - Top of stairs between mezzanine and Oak Grove platform",,,"Boston","Haymarket",
"5598",,"Jefferson Avenue",,"42.402028","-71.035402","Chelsea","296 Washington Ave opp Jefferson Ave","Washington Avenue"
"door-prmnl-prudential",,,"Prudential - Prudential Center","42.345632","-71.081223","Boston","Prudential - Prudential Center",
"5870",,"Putnam Street",,"42.377644","-71.03133","Boston","Bennington St @ Putnam St","Bennington Street"
"4297",,"Charles Street",,"42.192747","-71.059709","Randolph","N Main St @ Charles St","North Main Street"
"49903",,"Unnamed Road",,"42.481345","-71.123476","Woburn","42 Central St","Central Street"
"608",,"West Roxbury Parkway",,"42.275418","-71.140573","Boston","Washington St @ W Roxbury Pkwy","Washington Street"
"5300",,"Dexter Street",,"42.398961","-71.102197","Medford","Main St @ Dexter St","Main Street"
"8467",,"Hancock Street",,"42.49331","-71.278346","Bedford","Springs Rd @ Hancock St","Springs Road"
"9070130",,,"Harvard Avenue - Green Line Eastbound Shuttle","42.350191","-71.131085","Boston","Harvard Avenue",
"2797",,"Hilburn Street",,"42.277378","-71.127103","Boston","Metropolitan Ave @ Hilburn St","Metropolitan Avenue"
"5644",,"Francis Street",,"42.402773","-71.043325","Everett","Chelsea St opp Frances St","Chelsea Street"
"node-427-platform",,,"Fields Corner - Top of escalator to Alewife platform",,,"Boston","Fields Corner",
"7163",,"Osgood Street",,"42.532317","-70.888384","Salem","Bridge St @ Osgood St","Bridge Street"
"node-147-platform",,,"Tufts Medical Center - Bottom of Escalator 147",,,"Boston","Tufts Medical Center",
"door-crtst-south",,,"Courthouse - Thomson Pl, Seaport Blvd","42.352247","-71.046901","Boston","Courthouse - Thomson Pl, Seaport Blvd",
"2448",,"Broadway",,"42.369203","-71.101015","Cambridge","Prospect St @ Broadway","Prospect Street"
"4404",,,,"42.258447","-71.081447","Milton","Brook Rd @ Central Ave","Brook Road"
"4423",,"Dewey Road",,"42.230967","-70.978468","Braintree","Shaw St @ Dewey Rd","Shaw Street"
"2889",,"Columbia Road",,"42.413444","-71.108991","Medford","Mystic Ave @ Columbia Rd","Mystic Avenue"
"5674",,"Willow Street",,"42.38837","-71.026854","Chelsea","Central Ave @ Willow St","Central Avenue"
"node-symcl-wb-farepaid",,,"Symphony - Paid side of fare gates",,,"Boston","Symphony",
"8209",,"Columbia Avenue",,"42.314177","-71.21603","Newton","Elliot St @ Columbia Ave","Elliot Street"
"2355",,"Highland Avenue",,"42.410149","-71.175919","Arlington","West Service Rd @ Pedestrian Bridge","Frontage Road"
"7194",,"Salem Water Works Road",,"42.580255","-70.886459","Beverly","Dodge St @ Tozer Rd","Dodge Street"
"2688",,,,"42.383968","-71.092101","Somerville","Medford St @ Highland Ave","Medford Street"
"4860",,"West Street",,"42.483434","-70.888223","Marblehead","Humphrey St @ West St","Humphrey Street"
"3708",,,,"42.242995","-70.948461","Weymouth","Sea St @ Bridge St","Sea Street"
"3116",,"Elliot Avenue",,"42.266943","-71.03587","Quincy","Harvard St @ Elliot Ave","Harvard Street"
"place-cedgr","Fellsway St and Milton St, Dorchester, MA 02124",,,"42.279682","-71.060432","Boston","Cedar Grove",
"49739",,"Kimball Avenue",,"42.486346","-71.197685","Burlington","S Bedford St opp Kimball Ave","South Bedford Street"
"4089",,"Purgatory Road",,"42.22958","-71.030926","Quincy","Willard St @ Thistle Rd","Willard Street"
"84881",,"Nahanton Street",,"42.298933","-71.201934","Newton","677 Winchester St","Winchester Street"
"1168",,"Townsend Street",,"42.319958","-71.094067","Boston","Washington St @ Townsend St","Washington Street"
"3852",,"Verchild Street",,"42.233513","-71.006101","Quincy","Independence Ave opp Verchild St","Independence Avenue"
"2817",,"Gordon Avenue",,"42.257289","-71.126828","Boston","Austin St @ Gordon Ave","Austin Street"
"node-sull-sbstairs-platform",,,"Sullivan Square - Bottom of stairs for Forest Hills, Oak Grove",,,"Boston","Sullivan Square",
"5684",,"Maple Street",,"42.39743","-71.040116","Chelsea","Everett Ave @ Maple St","Everett Avenue"
"986",,"Hibbard Road",,"42.35483","-71.181197","Newton","Tremont St @ Hibbard Rd","Tremont Street"
"7608",,"Stocker Street",,"42.456528","-70.993273","Saugus","Winter St opp Stocker St","Winter Street"
"5781",,"Northshore Road",,"42.408604","-70.993409","Revere","Beach St @ N Shore Rd","Beach Street"
"2686",,,,"42.385875","-71.09619","Somerville","Highland Ave @ Vinal Ave","Highland Avenue"
"3124",,"Farrington Street",,"42.273004","-71.031092","Quincy","W Squantum St @ Farrington St","West Squantum Street"
"7602",,,,"42.365063","-71.256642","Waltham","South St opp Brandeis Univ Entrance","South Street"
"7890",,"Brooksbie Road",,"42.488167","-71.268268","Bedford","Great Rd opp Brooksbie Rd","The Great Road"
"16458",,"Fairway Street",,"42.268381","-71.095147","Boston","Cummins Hwy @ Fairway St","Cummins Highway"
"11587",,"Pierpoint Road",,"42.305236","-71.094725","Boston","Circuit Dr @ Glen Ln","Jewish War Veterans Drive"
"node-lbusramp-lower",,,"Sullivan Square - Bottom of ramp for lower busway",,,"Boston","Sullivan Square",
"1294",,"Corey Road",,"42.342466","-71.140502","Boston","Washington St @ Corey Rd","Washington Street"
"2050",,"Parker Street",,"42.367937","-71.178736","Watertown","Mt Auburn St @ Parker St","Mount Auburn Street"
"2286",,"Highland Avenue",,"42.417833","-71.164714","Arlington","905 Massachusetts Ave","Massachusetts Avenue"
"24610",,"Yerxa Road",,"42.39295","-71.128818","Cambridge","Rindge Ave @ Hollis St","Rindge Avenue"
"78632",,"Waverley Oaks Road",,"42.383073","-71.208507","Waltham","opp 135 Beaver St","Beaver Street"
"954",,"University Road",,"42.350453","-71.108831","Boston","Commonwealth Ave @ University Rd","Commonwealth Avenue"
"9161",,,,"42.4098","-71.085081","Medford","Riverside Ave @ Fellsway","Riverside Avenue"
"2405",,,,"42.401721","-71.116808","Somerville","College Ave @ Warner St","College Avenue"
"30287",,"Dorchester Street",,"42.334168","-71.048924","Boston","W 6th S @ Dorchester St","West Sixth Street"
"door-cntsq-western",,,"Central - Western Ave","42.365635","-71.104304","Cambridge","Central - Western Ave",
"256",,"Dorchester Street",,"42.333612","-71.049923","Boston","W 7th St @ Dorchester St","West Seventh Street"
"32818",,,,"42.241728","-71.130753","Boston","1661 Hyde Park Ave","Hyde Park Avenue"
"3268",,"Bell Street",,"42.26918","-70.952467","Quincy","Sea St opp Macy St","Sea Street"
"2601",,,,"42.373888","-71.082777","Somerville","McGrath Hwy @ Twin City Plaza","McGrath Highway"
"node-966-lobby",,,"Maverick - Bottom of elevator between Lewis Mall and lobby",,,"Boston","Maverick",
"88335",,"Exchange Street",,"42.376266","-71.240174","Waltham","Main St @ Exchange St","Main Street"
"111738",,"Austin Street",,"42.262866","-71.095677","Milton","Blue Hill Ave - Brush Hill Rd to Tucker St (FLAG)","Blue Hill Avenue"
"2907",,"West Howell Street",,"42.325142","-71.059251","Boston","Boston St @ W Howell St","Boston Street"
"node-710-platform",,,"Wonderland - Platform level of Wonderland-bound platform elevator",,,"Revere","Wonderland",
"109893",,"Woodside Avenue",,"42.375811","-70.987603","Winthrop","Pauline St @ Woodside Ave","Pauline Street"
"5638",,"Spring Street",,"42.40517","-71.051943","Everett","Chelsea St @ Spring St","Chelsea Street"
"6507",,"West Street",,"42.261535","-71.1223","Boston","Hyde Park Ave @ West St","Hyde Park Avenue"
"node-962-platform",,,"Arlington - Bottom of westbound elevator",,,"Boston","Arlington",
"14717",,"Beach Street",,"42.409782","-71.002099","Revere","American Legion Hwy @ Beach St - Bell Circle","American Legion Highway"
"2103",,"Walnut Street",,"42.384554","-71.182453","Belmont","Trapelo Rd @ Walnut St","Trapelo Road"
"1572",,"Julian Street",,"42.319177","-71.077688","Boston","Blue Hill Ave @ Julian St","Blue Hill Avenue"
"4072",,"Canessa Street",,"42.179866","-71.029401","Randolph","North St @ Canessa St","North Street"
"2806",,"Cornell Street",,"42.274646","-71.127923","Boston","Poplar St @ Cornell St","Poplar Street"
"577",,,,"42.27135","-71.082411","Boston","River St opp Leahaven Rd","River Street"
"6851",,"Waitt Avenue",,"42.483738","-70.939851","Lynn","Eastern Ave @ Waitt Ave","Eastern Avenue"
"8187",,"Adams Street",,"42.360084","-71.202315","Newton","Watertown St @ Adams St","Watertown Street"
"78606",,"Porter Road",,"42.395337","-71.206707","Waltham","Trapelo Rd @ Porter Rd","Trapelo Road"
"109868",,"Douglas Street",,"42.381889","-70.98615","Winthrop","Main St @ Hermon St","Main Street"
"2788",,"Myopia Road",,"42.264152","-71.126798","Boston","243 West St opp Myopia Rd","West Street"
"4009",,"Chandler Street",,"42.152223","-71.008282","Holbrook","S Franklin St @ Holbrook Park","South Franklin Street"
"70197",,,"Park Street - Green Line - (C) Cleveland Circle","42.356395","-71.062424","Boston","Park Street",
"5381",,,,"42.427576","-71.050902","Malden","23 Bowdoin St","Bowdoin Street"
"7328",,"Trevett Avenue",,"42.494559","-70.970895","Lynn","Lynnfield St opp Trevett Ave","Lynnfield Street"
"6254",,"Steeple Street",,"42.420494","-71.015176","Revere","Malden St @ Steeple St","Malden Street"
"8497",,"Hagen Road",,"42.316115","-71.194994","Newton","Parker St @ Hagen Rd","Parker Street"
"10",,"Newmarket Square",,"42.330555","-71.068787","Boston","Theo Glynn Way @ Newmarket Sq","Theodore Glynn Way"
"89410",,"Reservation Road",,"42.252083","-71.131077","Boston","River St @ Reservation Rd","River Street"
"3925",,,,"42.197675","-71.005055","Braintree","Hancock St opp Hancock Ave","Hancock Street"
"3396",,"Kimball Street",,"42.254789","-71.033754","Quincy","Robertson St opp Kimball St","Robertson Street"
"node-325-platform",,,"North Quincy - Bottom of escalator from platform to Squantum Street lobby",,,"Quincy","North Quincy",
