id,label,bearing,current_stop_sequence,direction_id,longitude,latitude,speed,updated_at,current_status,route_id,stop_id
"y1289","1289","152.0","3","0","-71.0634002686","42.3495864868","None","2019-08-15T22:27:42-04:00","IN_TRANSIT_TO","749","49002"
"1804","1804","83.0","8","1","-71.3601379395","42.2834815979","25.0","2019-08-15T22:27:37-04:00","IN_TRANSIT_TO","CR-Worcester","Natick Center"
"y1869","1869","90.0","1","0","-71.0954818726","42.3491210938","None","2019-08-15T22:26:16-04:00","IN_TRANSIT_TO","57","899"
"y0632","0632","0.0","None","1","-71.0735549927","42.3881416321","None","2019-08-15T21:58:07-04:00","IN_TRANSIT_TO","351",""
"y0854","0854","111.0","34","1","-71.0389709473","42.3716163635","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","116","5737"
"y1816","1816","139.0","1","0","-71.0401306152","42.3169937134","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","8","111"
"y0908","0908","0.0","3","0","-70.9990844727","42.2536849976","None","2019-08-15T22:27:52-04:00","IN_TRANSIT_TO","214216","3239"
"y0713","0713","315.0","19","0","-71.120803833","42.3902282715","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","83","2318"
"y0646","0646","0.0","8","1","-71.0393676758","42.4341773987","None","2019-08-15T22:27:48-04:00","IN_TRANSIT_TO","108","9021"
"G-10136","3628-3801","300.0","640","1","-71.0646591187","42.3657417297","None","2019-08-15T22:27:28-04:00","INCOMING_AT","Green-E","70207"
"y1453","1453","135.0","25","1","-71.1277236938","42.3951301575","None","2019-08-15T22:27:57-04:00","IN_TRANSIT_TO","77","2297"
"y1640","1640","180.0","1","1","-71.0837936401","42.3293190002","None","2019-08-15T22:27:35-04:00","IN_TRANSIT_TO","42","64000"
"y0765","0765","0.0","None","1","-71.0090560913","42.259552002","None","2019-08-15T22:25:45-04:00","IN_TRANSIT_TO","238",""
"y1662","1662","248.0","10","0","-71.1010971069","42.3356399536","None","2019-08-15T22:27:53-04:00","IN_TRANSIT_TO","39","92391"
"y1408","1408","0.0","None","0","-71.0741271973","42.3880386353","None","2019-08-15T22:26:08-04:00","IN_TRANSIT_TO","93",""
"y1802","1802","95.0","1","0","-71.0644302368","42.2836875916","None","2019-08-15T22:27:51-04:00","IN_TRANSIT_TO","22","334"
"y0785","0785","270.0","None","1","-71.0095901489","42.260219574","None","2019-08-15T22:27:20-04:00","IN_TRANSIT_TO","216",""
"y1898","1898","180.0","None","1","-71.05834198","42.3405685425","None","2019-08-15T22:27:07-04:00","IN_TRANSIT_TO","1",""
"y1442","1442","32.0","8","0","-71.0601272583","42.4020042419","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","109","5565"
"y0751","0751","0.0","3","0","-71.0390701294","42.3740844727","None","2019-08-15T22:27:26-04:00","IN_TRANSIT_TO","116","5743"
"y1912","1912","0.0","1","1","-71.0583496094","42.3631210327","None","2019-08-15T22:27:08-04:00","IN_TRANSIT_TO","111","8310"
"y1428","1428","302.0","1","1","-71.0759048462","42.3848953247","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","104","29007"
"y0838","0838","0.0","1","1","-70.9921646118","42.4126091003","None","2019-08-15T22:27:23-04:00","IN_TRANSIT_TO","442","15795"
"y0604","0604","72.0","1","1","-71.1086807251","42.4812202454","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","132","25989"
"y0661","0661","268.0","10","0","-71.097984314","42.3734016418","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","69","1424"
